School_Name,District,TALUK
"A E IBRAHIM MiDDLE SCHOOL, SATHANKULAM",Ariyalur,Alandur
A G MAT S SURANDAI,Chengalpattu,Ambattur
A G R GOVERNMENT BOYS HIGHER SECONDARY SCHOOL KANDACHIPURAM,Chennai,Aminjikarai
"A K T MEMORIAL VID YA SAAKET SCHOOL, NEELAMANGALAM",Coimbatore,Ayanavaram
A P A C M S PULIYANKULAM,Cuddalore,Egmore
A R R GOVERNMENT HIGHER SECONDARY SCHOOL KARANAIPERICHANUR,Dharmapuri,Guindy
A RATHINASAMY NADAR MEMORIAL HIGHER SECONDARY SCHOOL UTHAPPANAYAKKANUR,Dindigul,Madhavaram
"A U MUNICIPAL HIGHER SECONDARY SCHOOL, SIVAKASI",Erode,Madhuravoyal
A V A T HR SEC SCHOOL SAMALAPURAM,Kallakurichi,Mambalam
"A VP TRUST MATRICULATION HR SEC SCHOOL, GANDHI NAGAR",Kanchipuram,Mylapore
A VP TRUST MATRICULATION SCHOOL,Kanyakumari,Perambur
"A VP TRUST NATIONAL MATRIC HR SEC SCHOOL, ATHUP ALAYAM",Karur,Purasavakkam
"A. J. J.ORIENT AL ARABIC HR SEC SCHOOL,ARANTHANGI",Krishnagiri,Sholinganallur
"A. J. SARASWATHI MATRIC VIDHYALAYA SCHOOL, NELLOREPET",Madurai,Thiruvottriyur
"A. M. K GOVT (G) HSS,AMMAYARKUPPAM",Mayiladuthurai,Tondiarpet
"A. R. GOVT GIRLS HSS, CUMBUM",Nagapattinam,Velacherry
"A.A. GOVT.HR.SEC. SCHOOL, VELLAKOVIL",Namakkal,Aanaimalai
A.A. SUGAR FACT. HS-KURUNGULAM,Nilgiris,Annur
"A.A.G.M HIGH SCHOOL, SANGARAP ANDIAPURAM",Perambalur,Coimbatore(North)
A.A.PUBLIC SCHOOL,Pudukkottai,Coimbatore(South)
"A.C HSS, PALLATHUR",Ramanathapuram,Kinathukadavu
A.C MIDDLE SCHOOL GUINDY,Ranipet,Madukarai
A.C. Middle School Kanagam,Salem,Mettupalayam
A.E.M. MATRICULATION HIGHER SECONDARY SCHOOL,Sivaganga,Perur
A.E.T. HR. SEC. SCHOOL,Tenkasi,Pollachi
"A.E.T.MATRICULATION HSS, KATHIRAMPATTI",Thanjavur,Sulur
"A.G. MATRICULATION SCHOOL,CHERIKAD AI,PALLIY ADI",Theni,Valparai
"A.G.HS, KANAKAPILLAIVALASAI",Thoothukudi,Cuddalore
A.G.M MIDDLE SCHOOL CUDDALORE PORT,Tiruchirappalli,Bhuvanagiri
A.G.N. MATRIC HR.SEC.SCHOOL,Tirunelveli,Chidambaram
"A.K.D.D.MID SCH, RAJAPALAYAM",Tirupattur,Kattumannarkoil
"A.K.K.V. AARUNADU. MAT. SCHOOL, TRICHY",Tiruppur,Kurinjipadi
"A.K.T.MPL HS, KANCHIPURAM",Tiruvallur,Panruti
A.L MARTRICULATION SCHOOL-ADIRAMPATTINAM,Tiruvannamalai,Srimushnam
